	BJ24L	BJ24S	KJ25L	KJ25S	KB14L	KB14S	KJ15L	KJ15S	BB24L	BB24S	BJ25L	BJ25S	KM14L	KM14S	KM15L	KM15S	BJ14L	BJ14S	KM25L	KM25S	BM24L	BM24S	BM15L	BM15S	BB14L	BB14S	KB15L	KB15S	KJ14L	KJ14S	BM25L	BM25S	KJ24L	KJ24S	BJ15L	BJ15S	BM14L	BM14S	BB15L	BB15S	KB24L	KB24S	KB25L	KB25S	KM24L	KM24S	BB25L	BB25S
"CBM4,GH9"	0	0	0	1.278	0	0.946	0	0	0	0	0	1.137	0	0	0	1.178	0	0	0	0.913	0	0.763	0.762	0	0.442	0	0	0.669	0.429	0	0.835	1.921	0	0	0	2.994	0	0	0	0	0	0	0	0	0	0	0	1.194
"CBM48,GH13"	1.158	1.914	1.301	9.905	5.302	7.034	9.999	9.102	0.904	4.449	0	6.625	3.537	8.61	3.768	1.641	4.876	3.743	3.92	4.272	3.653	6.027	5.215	5.024	4.104	4.982	8.577	4.562	9.488	3.025	4.406	7.613	4.5	5.541	6.941	5.316	2.818	11.285	1.971	5.391	4.374	3.446	3.639	2.967	6.424	3.05	3.443	7.07
"CBM50,GH23"	2.387	1.361	0	4.93	3.313	1.424	6.767	1.307	1.882	0.904	2.262	2.585	2.931	2.721	1.074	4.064	1.903	4.373	3.306	0.797	3.388	5.885	3.59	2.03	4.355	5.241	1.052	2.83	1.095	2.615	2.988	1.553	1.699	4.504	2.477	1.546	3.215	3.662	1.49	1.605	2.756	1.54	1.682	2.62	3.961	5.162	2.826	1.171
"CBM50,GH25"	46.777	5.799	1.113	6.882	0	0	0	0	2.342	2.844	1.354	0	3.91	1.308	7.407	1.862	0	0	1.94	0	0	1.37	3.153	0	2.285	0	0	0	2.035	0.952	0.699	0	0.756	0	1.044	0.788	1.421	3.581	10.19	1.52	0	0	1.312	1.008	3.23	1.891	2.399	0
"CBM51,GH27"	2.035	1.757	0	0.728	1.722	0.81	0.521	1.223	0	1.281	0.487	1.948	0.703	0.473	0	0	0	0.408	1.163	0	0.702	1.307	0	1.238	0.502	1.356	2.677	0.764	0.734	0	0.474	0	0.816	0.377	0.376	0.855	0.256	0	0.759	0.321	1.331	1.658	1.246	0	0.465	0	1.055	0.679
"CBM57,GH137,GH2"	0.179	1.731	0	0.24	0.379	1.406	0	1.861	0.557	2.346	0.644	0.425	0.153	1.542	0.235	0.438	0	1.2	0	1.698	0	0.851	0	1.075	0	0.354	0.22	0.622	0.161	0.672	0	0.179	0.538	0.246	0.987	1.493	0.338	1.685	0.373	0.105	0.35	0.544	0.821	0.835	0.307	0.225	0	1.785
"CBM57,GH2"	0.728	0.391	0	0	0.684	0.48	0.466	0.363	0	0	0	0	0.629	0	0.318	0.599	0.546	0	0.416	0	0.782	0	0.387	1.101	0.449	0.484	0.299	0.34	0.436	0	0.424	0	0.243	0.337	0	1.268	0.343	0	0.339	0	1.071	0.37	0	0	1.246	0.608	0	0
"CBM58,GH13"	2	2.832	1.614	0.912	4.05	4.217	0	2.377	2.498	5.252	0.954	2.289	5.832	4.489	1.235	3.633	1.676	2.21	0.924	0	4.064	2.352	3.401	1.189	1.13	7.945	0	0.867	1.577	2.354	3.873	1.716	3.542	0.873	1.605	0.563	4.956	3.005	3.016	0	3.546	5.984	1.765	0	2.259	8.855	1.787	0.858
"CBM6,CE1,GH43"	4.354	1.711	0	0.857	5.848	1.25	0.601	0.945	2.293	0.805	2.297	2.021	9.785	1.086	1.665	2.073	1.43	0.634	1.996	1.623	3.566	1.008	3.221	1.285	3.841	0.426	7.089	3.577	2.74	0.538	4.977	0.742	2.115	0.296	2.645	3.567	7.917	0.991	1.188	1.26	3.514	0.975	3.428	0	2.546	2.387	1.343	2.93
"CBM6,GH10"	3.393	24.429	10.404	27.437	5.42	13.281	33.422	34.019	7.936	13.273	12.906	15.845	9.797	17.675	8.862	7.99	15.05	11.168	4.59	8.164	9.316	10.725	11.548	14.264	7.534	8.967	10.24	8.518	17.288	17.241	9.562	9.995	8.87	9.691	15.244	15.995	5.623	8.722	6.701	2.833	7.358	13.658	6.636	5.075	11.181	18.528	12.041	12.583
