Names	Feed	Collection	Breed	Fraction	Group.Fc	Group.Fb	Group.Fp	Group.Cb	Group.Cp	Group.Bp	Group.Fcb	Group.Fcp	Group.Cbp	Group.all	BarPlot
KB25S	Bajra	Collection-5	Kachchhi	Solid	Bajra5	BajraKachchhi	BajraSolid	5Kachchhi	5Solid	KachchhiSolid	Bajra5Kachchhi	Bajra5Solid	5KachchhiSolid	Bajra5KachchhiSolid	5K2
KJ11L	Jowar	Collection-1	Kachchhi	Liquid	Jowar1	JowarKachchhi	JowarLiquid	1Kachchhi	1Liquid	KachchhiLiquid	Jowar1Kachchhi	Jowar1Liquid	1KachchhiLiquid	Jowar1KachchhiLiquid	1K1
KJ11S	Jowar	Collection-1	Kachchhi	Solid	Jowar1	JowarKachchhi	JowarSolid	1Kachchhi	1Solid	KachchhiSolid	Jowar1Kachchhi	Jowar1Solid	1KachchhiSolid	Jowar1KachchhiSolid	1K1
KJ12L	Jowar	Collection-2	Kachchhi	Liquid	Jowar2	JowarKachchhi	JowarLiquid	2Kachchhi	2Liquid	KachchhiLiquid	Jowar2Kachchhi	Jowar2Liquid	2KachchhiLiquid	Jowar2KachchhiLiquid	2K1
KJ12S	Jowar	Collection-2	Kachchhi	Solid	Jowar2	JowarKachchhi	JowarSolid	2Kachchhi	2Solid	KachchhiSolid	Jowar2Kachchhi	Jowar2Solid	2KachchhiSolid	Jowar2KachchhiSolid	2K1
KJ13L	Jowar	Collection-3	Kachchhi	Liquid	Jowar3	JowarKachchhi	JowarLiquid	3Kachchhi	3Liquid	KachchhiLiquid	Jowar3Kachchhi	Jowar3Liquid	3KachchhiLiquid	Jowar3KachchhiLiquid	3K1
KJ13S	Jowar	Collection-3	Kachchhi	Solid	Jowar3	JowarKachchhi	JowarSolid	3Kachchhi	3Solid	KachchhiSolid	Jowar3Kachchhi	Jowar3Solid	3KachchhiSolid	Jowar3KachchhiSolid	3K1
KJ14L	Jowar	Collection-4	Kachchhi	Liquid	Jowar4	JowarKachchhi	JowarLiquid	4Kachchhi	4Liquid	KachchhiLiquid	Jowar4Kachchhi	Jowar4Liquid	4KachchhiLiquid	Jowar4KachchhiLiquid	4K1
KJ14S	Jowar	Collection-4	Kachchhi	Solid	Jowar4	JowarKachchhi	JowarSolid	4Kachchhi	4Solid	KachchhiSolid	Jowar4Kachchhi	Jowar4Solid	4KachchhiSolid	Jowar4KachchhiSolid	4K1
KJ15L	Jowar	Collection-5	Kachchhi	Liquid	Jowar5	JowarKachchhi	JowarLiquid	5Kachchhi	5Liquid	KachchhiLiquid	Jowar5Kachchhi	Jowar5Liquid	5KachchhiLiquid	Jowar5KachchhiLiquid	5K1
